smiles,4lde qvina,4lde smina
CC=CCC1=C(c2ccccc2)N2N3C(=O)c4c(cccc4)C45c6c(cccc6)C(=Cc6ccc(Cl)cc6)C6C7=C(C(=COc8ccccc8)c8ccccc8)C8C9OC2%10CCC(C(=CC(=O)c2ccccc2)c2ccccc2)C1%10C(OC84CC(=O)O)(C79)C635,65.7,74.6
CC=CCC1=COc2ccccc2C12c1c(ccc(OC)c1)C1=C3c4c5cc(OC)cc4C12C1C2C4=C6C(=O)OC27N2C(=O)N(c8c4ccc2c8)C67C51C31OC(=O)CC12CC=CC2=O,63.0,62.2
COc1cc2c(cc1)C1=C3C(=CC(=O)c4ccccc4)c4c5ccccc5c5ccccc5c4C32C23CC(=O)OC24C2=C5C(CCc6ccccc6)C6=C(C13)C4(OC6=O)C5c1c2cccc1,60.6,53.9
O=C1OC23CCCC(c4ccccc4)=C2C2=Cc4c5cccc4N4C(=O)N5C3(C1=C(C1=C3C5=Cc6c7cccc6C36C(Cc3ccccc3)CC(=C5c3ccccc3)C76C(O)(F)C1=O)c1ccccc1)C24,48.4,49.9
COc1ccc2C3=C(C45OC(=O)C6=C7CC8(c9c%10c%11cc(c9)occ-%11c9c%10C8(OC9=O)C78Cc7c9cc(cc7)OC984)C65CNC(N)=O)C(=O)OC34c3c(ccc(OC)c3)CC4c2c1,43.2,39.5
C=CC=C(c1ccccc1)N1c2c3C4=C5c6c7cc(OC)cc6N6C(=O)C(=C8c9c(cc(OC)cc9)C9%10C(=C(CC=O)c%11c9cccc%11)C(=O)OC8%10)N(C56c3cc(OC)c2)C471,20.3,38.0
COc1ccc2SCN(C34C=C5C(=O)C67C(=C8C9=C(c%10ccccc%10)C%10=CC(C(F)F)=C(C5%10)C96c5c8ccc(OC)c5)c5c(cc(OC)cc5)C37CC(=O)O4)c2c1,25.2,37.8
COc1cc2c(cc1)C1=C3C(CCc4ccccc4)=C4C5=C6CC(c7ccccc7)=C1C2(C6=C[SH](=O)=O)C41C3=C(CCCCCCc2ccccc2)C(=O)OC12C=C1C(=O)C23Oc2c(cccc2)C1C53,27.6,36.6
COc1ccc(C2=C3CC(C(c4ccccc4)=C2)N2C(=O)N4c5c6cc7c8c5C59C%10=C(C6Cc6ccccc6)C7C5(c5c%10ccc(OC)c5)C32C42C(=O)C=CC92OC8=O)cc1,40.6,36.2
CCN1CC=C2C(=O)OC3(C4=C5OC67c8cccc9c8C(=C8C(c%10ccc(OC)cc%10)=COc%10c8cccc%10)C68C(=C(CCO)CC98F)C(=C5C(F)F)C37c3c4ccc(OC)c3)C21,32.4,36.1
