smiles,Ea,Er,sum_Ea_Er,diff_Ea_Er,sa_score
Cc1c(C=c2sc3=C(S)C4C5=c2c3=C4C=C5)c2c3C=Cc1c3C=C2,5.293987759,27.97906091,8.061425026,-2.767437267,19.91763588
Cc1c2ccc3cc2c(cn3)c2c3sc(c12)c1c3CCCS1,0.0,26.51510703,7.946001293,-7.946001293,18.56910573
Cc1c2C=Cc3c(-c4nc5c(S)c6c(CCCC6)c(CCC6=NC=NC6)c5s4)c1ccc23,6.338803767,26.41590545,7.941555366,-1.602751599,18.47435008
CCCC(C)=C(C=NSN)C(C=NSN)=C1C=CC(CC2SC3=CC4=C(C=C5CC(C)SC5C4)C2C3)=C1C,0.0,27.28876485,9.169944254,-9.169944254,18.1188206
N=c1c2c3c4c(C2)c2c3c3c(c5c6C=c7sc(c5)c6c73)c4c12,0.0,25.30607052,7.205588667,-7.205588667,18.10048185
C1=C2Cc3c1ncc1c4C=c5sc6=C2c(c31)c5c46,0.0,25.25483483,7.319281325,-7.319281325,17.93555351
CCCc1c2c3c4SN=c2c2c4N=C4C5=C6C=C(C5=CC6)[Si]45N=C(C3)c1c25,0.0,26.31061146,8.446939171,-8.446939171,17.86367229
OCC(S)=NC=c1c2c3cc4c(c2)c(c1c1ccccc41)C3,0.0,25.1554529,7.394791986,-7.394791986,17.76066091
CCCC1=C2CCC3=C1Cc1c2sc3c1N=Cc1c(S)c2c3c4c(cc3c1c4)s2,0.0,25.27971503,7.746215592,-7.746215592,17.53349944
CCCCCC=C(CS)N=CC(=[Se])C(=CC=NSN)CN,0.0,25.02706082,7.773968204,-7.773968204,17.25309262
CCN=CCC(=N)C1=C[SiH2]C=C(C2=C3C4=CC(=C3CS4)C2)O1,7.529542969,24.53404864,7.942056405,-0.412513436,16.59199223
c1c2c3ccc4c(c1)c2ccc34,8.46867322,23.06455428,7.059686024,1.408987196,16.00486826
CCc1cnc2cc1C1=C2C2OC(=C1)C=NS2,0.0,21.68709971,7.181747583,-7.181747583,14.50535213
CCCC(COCCCCc1cc2c(cn1)c1c3C=Cc2c3C=C1)=c1c2=C(C=NSN)c3c1sc2c3,0.0,22.66104838,8.605111265,-8.605111265,14.05593711
CC1=C2C3=CC1=C1SC(S3)C(CCC3CCCCC3=N)=C12,0.0,22.47149605,8.498189011,-8.498189011,13.97330704
CNC(=CC=C[SiH3])N=CC1=C(C)CCC(C2=CC3=C(C=C(C)CC3=N)C2=[Se])=C1C=NSN,0.0,21.70843895,7.981038733,-7.981038733,13.72740022
Cc1c2C=Cc3c(C=NC(CS)=c4oc5=C6C(S)=CC7CCOC7=C6Cc4c5)c1ccc23,0.0,22.2618594,8.556709401,-8.556709401,13.70514999
C[SiH2]C=Cc1c2ccc3c1C=Cc3c2C=C1C=C[SiH2]C=C1SN,9.295302732,21.26810087,8.106004916,1.189297816,13.16209596
CCCc1c2SC34Sc5c6c(C)c3c(c5S4)c2c6cn1,0.0,20.44085191,7.976698262,-7.976698262,12.46415365
CCC1=CC2=C(C=CC2=C(C=[Se])C2=C(C3CC=CC3=NS)SNS2)CC1,0.0,20.03688131,7.694298122,-7.694298122,12.34258319
CCCCCC1=CNC(N=c2oc3c4c5c6Cc3c3c7c6c(c24)c(c35)s7)=CC1,0.0,19.18313802,7.789389304,-7.789389304,11.39374871
CC1=C2C=CC1=C(C1=c3oc(=C(N)C4=NCC(=NS)C4)c(c3[SeH])C1=NS)CC2,0.0,19.31612666,8.025608414,-8.025608414,11.29051824
CC1=CC2=C(C=CC2=c2c3nc4cc2=C2CN(SN)C4(O3)[Se]2)CC1,0.0,19.01529763,8.499298054,-8.499298054,10.51599957
CCCCCCCC1=C2[Se]C3C(=C1)C2=CN=C3Sc1ccc(C)[nH]1,0.0,18.47674181,8.643258916,-8.643258916,9.833482897
Cc1c(C)c2c3c4c1cc3sc2=C4,0.0,17.04783062,7.624938079,-7.624938079,9.422892542
Cc1c2C3=C4SC5(O3)Sc3c2c4c5c1c3,0.0,14.24345205,5.084264198,-5.084264198,9.159187852
CCC12NC1C1CC2C2C1C13CC4CC(Br)C15C41C4C26SC2C47C(C4CC8CC4C49CC84C4C=CC9C4)CC4(C75Br)C21C634,81.67936636,1.883486468,83.56285283,-79.7958799,9.048526083
CC12CCC(C1)C13C(=C4C5C6C7=CC8C9%10NC9C9%11C(=CC8(C6(C)CF)C6(OC56)C74)C%10CC9C=CC%11C45CC4C4CCC5O4)C21C1C=CC3C1,86.58560267,-0.604665709,85.98093697,-87.19026838,8.827834877
C1=CC(C23OC2(C24C=CC5(C(C=CC6CC7CC6C68CC76C6C=CC8C6)=CC6C7CCC6C26SC756)C25CC24C2CCC5O2)C2CCC3C2)C23OC2(C1)C1CCC3C1,74.60007416,-12.46497575,62.13509842,-87.06504991,8.784472631
CC1C(C23CC2C2CCC3O2)C=C2C3CC4C=CC5(C(C)(CF)C6CC7C(=C8C9%10C%11C=CC(C%11)C89C8(C)CCC%10C8)C6C6OC765)C24C2NC312,84.52166544,-0.803301416,83.71836403,-85.32496686,8.753627952
FC1C23CC4N(CC25C42C4C6CCC4C54C5C=CC(O5)C64C12Br)C3=C1C23C4CCC(C4)C12C1C=CC3N1,85.85331209,-1.379575901,84.47373619,-87.23288799,8.734906988
CC1=CCC2=c3c4c5CC(=c3c(n5)SC2=N1)C(S)S4,0.0,16.10722348,7.395833399,-7.395833399,8.711390081
CC1=CC2C3C45CC6CCC4(CBr)C64C26C2CC3(C16C(C)C1CC3CC1C16CC31C1C=CC6C1)C41OC251,83.09511575,-0.073552746,83.02156301,-83.1686685,8.69721287
ClC(I)(C(Br)=CCC12SC1C13C4=C5C6C7CC(C8C=CC(C9%10OC9C9CCC%10C9=C9C%10%11C%12C=CC(C%12)C9%10C9CC%11CC9CBr)C87)C56C1C=CC3C2C4)C1C=CCC1,75.04977534,-6.756794174,68.29298117,-81.80656952,8.686903537
BrC1=CC23C4C5CC26C2C7C8SC2C2(C(=C9C%10%11C%12C=CC(C%12)C9%10C9CCC%11C9)C832)C6(C5Br)C174,86.5760829,0.069571233,86.64565413,-86.50651167,8.662901066
CC=CC1CC2CC1C13NC21CC=CC31C(=CC=CC2CC3CC2C24CC32C2C=CC4C2)C2(C=CCC34CC32C2CCC4S2)C23SC12C1CCC3C1,81.24202293,-8.486699237,72.75532369,-89.72872217,8.609029806
